listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,district,city,latitude,longitude,property_type,room_type,accommodates,bedrooms,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
2595,Skylit Midtown Castle,2845,2008-09-09,"New York, New York, United States",within a few hours,0.93,0.26,f,6,t,t,Midtown,Manhattan,New York,40.75362,-73.98377,Entire apartment,Entire place,2,,"[""Refrigerator"", ""Air conditioning"", ""Baking sheet"", ""Free street parking"", ""Bathtub"", ""Kitchen"", ""Keypad"", ""Coffee maker"", ""Oven"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Dedicated workspace"", ""Fire extinguisher"", ""Hot water"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Hair dryer"", ""Bed linens"", ""Essentials"", ""Dishes and silverware"", ""TV"", ""Wifi"", ""Heating"", ""Paid parking off premises"", ""Cooking basics"", ""Stove"", ""Luggage dropoff allowed"", ""Cleaning before checkout"", ""Carbon monoxide alarm"", ""Ethernet connection""]",100,30,1125,94,9,9,10,10,10,9,f
3109,zen and calm,3631,2008-10-14,"Paris, Ile-de-France, France",,,0,f,1,t,f,Observatoire,,Paris,48.83349,2.31852,Entire apartment,Entire place,2,,"[""Paid parking off premises"", ""Iron"", ""Children\u2019s books and toys"", ""Kitchen"", ""Hair dryer"", ""Washer"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Dedicated workspace"", ""Smart lock""]",60,2,30,100,10,10,10,10,10,10,f
5178,Large Furnished Room Near B'wayã€€,8967,2009-03-03,"New York, New York, United States",within a day,1,1,f,1,t,f,Midtown,Manhattan,New York,40.76468,-73.98315,Private room in apartment,Private room,2,1,"[""Extra pillows and blankets"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Essentials"", ""Hangers"", ""Smoke alarm"", ""TV"", ""Refrigerator"", ""Lock on bedroom door"", ""Shampoo"", ""Heating"", ""Wifi"", ""Microwave"", ""Paid parking off premises"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Free street parking""]",79,2,14,84,9,8,9,9,10,9,f
6848,Only 2 stops to Manhattan studio,15991,2009-05-06,"New York, New York, United States",,,0.75,f,1,t,t,Williamsburg,Brooklyn,New York,40.70837,-73.95352,Entire apartment,Entire place,3,,"[""Refrigerator"", ""Microwave"", ""Shampoo"", ""Air conditioning"", ""Free street parking"", ""Kitchen"", ""Coffee maker"", ""Oven"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Washer"", ""Dedicated workspace"", ""Fire extinguisher"", ""Hot water"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Hair dryer"", ""Bed linens"", ""Essentials"", ""Dishes and silverware"", ""TV"", ""Dishwasher"", ""Wifi"", ""Heating"", ""Cooking basics"", ""Stove"", ""Carbon monoxide alarm""]",109,30,730,91,9,10,10,10,9,9,f
7397,MARAIS - 2ROOMS APT - 2/4 PEOPLE,2626,2008-08-30,"Paris, Ile-de-France, France",within an hour,1,0.83,t,3,t,t,Hotel-de-Ville,,Paris,48.85758,2.35275,Entire apartment,Entire place,4,2,"[""Essentials"", ""Stove"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you"", ""TV"", ""Iron"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Coffee maker"", ""Washer"", ""Microwave"", ""Cooking basics"", ""Cable TV"", ""Paid parking off premises"", ""Shampoo"", ""Extra pillows and blankets"", ""Bed linens"", ""Carbon monoxide alarm""]",80,10,130,94,10,9,10,10,10,10,f
8490,"Maison des Sirenes1,bohemian, luminous apartment",25183,2009-07-10,"New York, New York, United States",within an hour,1,0.95,f,2,t,t,Bedford-Stuyvesant,Brooklyn,New York,40.68371,-73.94028,Entire loft,Entire place,5,1,"[""Refrigerator"", ""Microwave"", ""Air conditioning"", ""Free street parking"", ""Kitchen"", ""Coffee maker"", ""Oven"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Dedicated workspace"", ""Hot water"", ""Long term stays allowed"", ""Lockbox"", ""Hair dryer"", ""Bed linens"", ""Essentials"", ""Dishes and silverware"", ""TV"", ""Wifi"", ""Cable TV"", ""Heating"", ""Patio or balcony"", ""Cooking basics"", ""Stove"", ""Luggage dropoff allowed"", ""Private entrance"", ""Carbon monoxide alarm""]",120,2,1125,95,10,9,10,10,10,9,f
9704,Spacious 1 bedroom in luxe building,32045,2009-08-16,US,,,0.29,f,1,t,t,Harlem,Manhattan,New York,40.81305,-73.95466,Private room in apartment,Private room,2,1,"[""Smoke alarm"", ""TV"", ""Wifi"", ""Fire extinguisher"", ""Cable TV"", ""Heating"", ""Elevator"", ""Air conditioning"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen""]",55,30,730,98,10,9,10,10,10,10,f
10588,Montmartre Studio 10,37107,2009-09-08,"Paris, Ile-de-France, France",within a few hours,1,1,t,4,t,t,Buttes-Montmartre,,Paris,48.88918,2.3449,Entire apartment,Entire place,3,,"[""Heating"", ""TV"", ""Kitchen"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",75,30,730,99,10,10,10,10,9,10,f
11170,QUARTIER LATIN APART,40963,2009-09-24,"Paris, Ile-de-France, France",within a day,1,0.83,f,2,t,t,Pantheon,,Paris,48.8467,2.35095,Entire apartment,Entire place,2,,"[""Paid parking off premises"", ""Shampoo"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you"", ""Cable TV""]",75,2,1125,93,10,9,10,10,10,9,f
11834,"Roma ""Charming Boschetto House""",44552,2009-10-09,"Rome, Lazio, Italy",,,0.5,f,2,t,t,I Centro Storico,,Rome,41.89574,12.49058,Entire apartment,Entire place,2,1,"[""Pack \u2019n Play/travel crib"", ""Washer"", ""Hangers"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""Host greets you"", ""Cooking basics"", ""Wifi"", ""Stove"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Kitchen"", ""Heating"", ""Garden or backyard"", ""Gym"", ""Crib"", ""TV"", ""Patio or balcony"", ""Air conditioning"", ""Coffee maker"", ""Hot water"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Oven"", ""Shampoo"", ""Single level home"", ""Essentials"", ""Changing table"", ""First aid kit"", ""Bed linens""]",90,2,29,95,10,10,10,10,10,9,f
12268,Faubourg Saint Antoine-chambrecalme,47196,2009-10-20,"Paris, Ile-de-France, France",,,,f,2,t,f,Popincourt,,Paris,48.8509,2.38695,Private room in apartment,Private room,2,1,"[""Heating"", ""TV"", ""Kitchen"", ""Breakfast"", ""Washer"", ""Dryer"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]",60,6,40,,,,,,,,f
12452,Cozy apartment near Bastille,291007369,2019-09-02,FR,,,,f,0,t,t,Popincourt,,Paris,48.8596,2.3783,Entire apartment,Entire place,4,2,"[""Dishwasher"", ""Essentials"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""TV"", ""Iron"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Washer"", ""Microwave"", ""Cooking basics"", ""Cable TV"", ""Single level home"", ""Shampoo"", ""Bed linens"", ""Elevator""]",139,2,1125,100,10,10,10,10,10,10,t
13394,Fort Greene brownstone,52335,2009-11-08,"New York, New York, United States",,,0.7,t,2,t,t,Fort Greene,Brooklyn,New York,40.69142,-73.97376,Private room in apartment,Private room,2,1,"[""Extra pillows and blankets"", ""Hair dryer"", ""Stove"", ""Bed linens"", ""Essentials"", ""Dishes and silverware"", ""Washer"", ""Refrigerator"", ""Dryer"", ""Shampoo"", ""Heating"", ""Wifi"", ""Microwave"", ""Free street parking"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics""]",80,1,1125,94,10,10,10,10,10,9,f
14264,Charming sunny 2BR in Montmartre !,55995,2009-11-20,"Paris, Ile-de-France, France",,,0.5,f,1,t,t,Buttes-Montmartre,,Paris,48.88315,2.34158,Entire apartment,Entire place,2,1,"[""Paid parking off premises"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Breakfast"", ""Washer"", ""Hair dryer"", ""Bed linens"", ""Hot water"", ""Microwave"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Cable TV""]",90,7,365,88,9,9,9,9,10,9,f
14757,Lovely Studio Montmartre,57954,2009-11-27,"Paris, Ile-de-France, France",within an hour,1,1,f,2,t,t,Buttes-Montmartre,,Paris,48.89052,2.34453,Entire apartment,Entire place,2,,"[""Dishwasher"", ""Essentials"", ""Stove"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you"", ""TV"", ""Iron"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Coffee maker"", ""Washer"", ""Microwave"", ""Cooking basics"", ""Fire extinguisher"", ""Cable TV"", ""Paid parking off premises"", ""Shampoo"", ""Extra pillows and blankets"", ""Bed linens""]",75,3,120,91,10,9,10,10,10,9,t
15077,Top relaxed beach living in style,59342,2009-12-02,Gibraltar,within an hour,1,1,f,5,t,t,Ward 4,,Cape Town,-33.85812,18.49043,Private room in apartment,Private room,2,1,"[""Pack \u2019n Play/travel crib"", ""Hair dryer"", ""Dryer"", ""Hot water"", ""Heating"", ""Dedicated workspace"", ""Wifi"", ""Hangers"", ""Dishwasher"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Essentials"", ""Pool"", ""High chair"", ""First aid kit"", ""Kitchen"", ""Bed linens"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Building staff"", ""Lock on bedroom door"", ""BBQ grill"", ""Shampoo"", ""Free parking on premises"", ""Long term stays allowed"", ""Smoke alarm"", ""Stove"", ""Microwave"", ""Coffee maker"", ""Iron"", ""Private entrance"", ""Oven"", ""Beach essentials"", ""Cooking basics"", ""Indoor fireplace"", ""Babysitter recommendations"", ""Washer"", ""Crib"", ""Dishes and silverware"", ""Free street parking""]",1944,5,1125,100,10,10,10,10,10,10,f
15285,Waterford-Guinea Fowl Self Catering,59964,2009-12-04,"Cape Town, Western Cape, South Africa",within an hour,1,1,f,3,t,t,Ward 71,,Cape Town,-34.03863,18.43128,Entire guesthouse,Entire place,4,2,"[""Hair dryer"", ""Single level home"", ""Hot water"", ""Window guards"", ""Heating"", ""Dedicated workspace"", ""Wifi"", ""Hangers"", ""Ethernet connection"", ""Changing table"", ""Patio or balcony"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Essentials"", ""Pool"", ""High chair"", ""First aid kit"", ""Bathtub"", ""Kitchen"", ""Bed linens"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Host greets you"", ""BBQ grill"", ""Cable TV"", ""Shampoo"", ""Free parking on premises"", ""Long term stays allowed"", ""Smoke alarm"", ""Stove"", ""TV"", ""Garden or backyard"", ""Microwave"", ""Coffee maker"", ""Iron"", ""Private entrance"", ""Oven"", ""Cooking basics"", ""Indoor fireplace"", ""Carbon monoxide alarm"", ""Crib"", ""Dishes and silverware"", ""Pocket wifi""]",1200,2,365,100,10,10,10,10,10,10,f
15383,Beautiful apt in Montmartre w/ great terrace,60248,2009-12-05,"Paris, Ile-de-France, France",,,,f,0,t,t,Buttes-Montmartre,,Paris,48.88607,2.34504,Entire apartment,Entire place,3,1,"[""Essentials"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Dedicated workspace"", ""High chair"", ""Host greets you"", ""Iron"", ""Dryer"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Washer"", ""Fire extinguisher"", ""Paid parking off premises"", ""Shampoo"", ""Carbon monoxide alarm"", ""Elevator""]",99,5,60,97,10,10,10,10,10,10,f
15480,In hip designer district of Cape T.,60443,2009-12-06,"Betty's Bay, Western Cape, South Africa",within a day,1,0.5,f,2,t,f,Ward 115,,Cape Town,-33.92876,18.42247,Entire apartment,Entire place,2,1,"[""Hair dryer"", ""Single level home"", ""Hot water"", ""Heating"", ""Dedicated workspace"", ""Wifi"", ""Hangers"", ""Patio or balcony"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Essentials"", ""Pool"", ""First aid kit"", ""Kitchen"", ""Bed linens"", ""Refrigerator"", ""Baking sheet"", ""Gym"", ""Shampoo"", ""Free parking on premises"", ""Long term stays allowed"", ""Stove"", ""Smoke alarm"", ""Elevator"", ""Microwave"", ""Coffee maker"", ""Iron"", ""Oven"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Washer"", ""Dishes and silverware""]",550,14,365,86,9,8,9,9,10,9,f
